CITY_CODE,CITY_NAME,COUNTRY,CONTINENT
29700,GENEVA,Switzerland,Europe
29718,GEORGETOWN,Guyana,South America
29742,HAMAMATSU,Japan,Asia
29750,HANOI,Vietnam,Asia
29769,HARARE,Zimbabwe,Africa
29777,HAVANA,Cuba,North America
29785,HELSINKI,Finland,Europe
29793,HONG KONG,Hong Kong,Asia
29807,HOUSTON,United States,North America
29815,DJIBOUTI,Djibouti,Africa
29823,IQUITOS,Peru,South America
29831,ISLAMABAD,Pakistan,Asia
29840,JAKARTA,Indonesia,Asia
29858,KIEV,Ukraine,Europe
29874,KINSHASA,Democratic Republic of the Congo,Africa
29882,KUWAIT CITY,Kuwait,Asia
29890,KUALA LUMPUR,Malaysia,Asia
29904,LA PAZ,Bolivia,South America
29912,LAGOS,Nigeria,Africa
29939,LIBREVILLE,Gabon,Africa
29947,LIMA,Peru,South America
